Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-06-26,154.71,155.75,154.63,155.23,2153494.0,0.0,1.0,133.35282879430804,134.24926045319293,133.28387251285534,133.80104462375047,2153494.0
2017-06-23,154.34,154.68,153.8,154.11,3282205.0,0.0,1.0,133.03390599258938,133.32697018876328,132.5684510927838,132.83565668341294,3282205.0
2017-06-22,154.55,154.99,153.69,154.4,2376819.0,0.0,1.0,133.2149162314027,133.59417577939243,132.47363620578633,133.0856232036789,2376819.0
2017-06-21,155.79,155.79,153.39,153.79,3959668.0,0.0,1.0,134.28373859391925,134.28373859391925,132.21505015033875,132.55983155760217,3959668.0
2017-06-20,154.48,155.389,154.25,154.95,4481843.0,0.0,1.0,133.15457948513156,133.9380952331377,132.95633017595512,133.55969763866608,4481843.0
2017-06-19,155.51,155.86,154.54,154.84,4629492.0,0.0,1.0,134.04239160883486,134.3440753401904,133.20629669622107,133.46488275166865,4629492.0
2017-06-16,154.23,155.42,152.9676,155.38,6741963.0,0.0,1.0,132.93909110559193,133.9648157922006,131.8509609842686,133.93033765147425,6741963.0
2017-06-15,153.29,154.69,153.29,154.22,4654297.0,0.0,1.0,132.1288547985229,133.33558972394488,132.1288547985229,132.93047157041036,4654297.0
2017-06-14,153.97,154.9399,152.94,153.81,3049524.0,0.0,1.0,132.71498319087073,133.5509919081327,131.82717106716743,132.57707062796536,3049524.0
2017-06-13,155.44,155.48,154.15,154.25,3523529.0,0.0,1.0,133.98205486256379,134.0165330032901,132.87013482413926,132.95633017595512,3523529.0
2017-06-12,154.19,157.2,154.02,155.18,6470545.0,0.0,1.0,132.9046129648656,135.4990930545228,132.75808086677864,133.75794694784256,6470545.0
2017-06-09,152.0,154.265,151.88,154.1,4361460.0,0.0,1.0,131.0169347600984,132.96925947872748,130.91350033791937,132.8270371482313,4361460.0
2017-06-08,151.0,152.82,150.92,152.1,3708962.0,0.0,1.0,130.15498124193985,131.72373664498838,130.08602496048715,131.10313011191423,3708962.0
2017-06-07,153.05,154.2,150.8,150.98,4862943.0,0.0,1.0,131.92198595416488,132.91323250004717,129.98259053830816,130.13774217157666,4862943.0
2017-06-06,152.0,152.89,152.0,152.37,3797173.0,0.0,1.0,131.0169347600984,131.78407339125948,131.0169347600984,131.33585756181705,3797173.0
2017-06-05,151.82,152.93,151.6826,152.41,3975268.0,0.0,1.0,130.86178312682983,131.81855153198583,130.74335071343486,131.3703357025434,3975268.0
2017-06-02,153.07,153.2,151.8,152.05,3585701.0,0.0,1.0,131.939225024528,132.05127898188863,130.8445440564667,131.06003243600634,3585701.0
2017-06-01,152.8,152.87,151.63,152.67,2918122.0,0.0,1.0,131.70649757462525,131.76683432089632,130.69801195837974,131.5944436172646,2918122.0
2017-05-31,152.03,152.8,151.65,152.63,3543404.0,0.0,1.0,131.04279336564315,131.70649757462525,130.7152510287429,131.55996547653828,3543404.0
2017-05-30,151.95,152.67,151.59,151.73,3666032.0,0.0,1.0,130.97383708419045,131.5944436172646,130.6635338176534,130.78420731019557,3666032.0
2017-05-26,152.85,153.0,152.06,152.49,2443507.0,0.0,1.0,131.74959525053313,131.87888827825694,131.0686519711879,131.43929198399607,2443507.0
2017-05-25,153.25,153.73,152.9459,153.2,2582714.0,0.0,1.0,132.09437665779657,132.50811434651266,131.83225659292455,132.05127898188863,2582714.0
2017-05-24,152.21,152.76,151.23,152.51,3732399.0,0.0,1.0,131.19794499891168,131.67201943389887,130.3532305511163,131.45653105435923,3732399.0
2017-05-23,152.57,153.68,151.92,152.03,2564503.0,0.0,1.0,131.50824826544874,132.46501667060474,130.9479784786457,131.04279336564315,2564503.0
2017-05-22,152.1,152.84,151.5992,152.64,3302139.0,0.0,1.0,131.10313011191423,131.74097571535157,130.67146379002045,131.56858501171985,3302139.0
2017-05-19,151.01,152.46,150.89,151.98,5643264.0,0.0,1.0,130.16360077712142,131.41343337845132,130.0601663549424,130.9996956897352,5643264.0
2017-05-18,150.86,151.33,150.11,150.78,3274371.0,0.0,1.0,130.03430774939767,130.4394259029322,129.38784261077876,129.96535146794497,3274371.0
2017-05-17,153.3,154.14,150.89,150.93,5191494.0,0.0,1.0,132.13747433370452,132.86151528895766,130.0601663549424,130.09464449566875,5191494.0
2017-05-16,151.66,153.99,151.66,153.68,5513690.0,0.0,1.0,130.7238705639245,132.7322222612339,130.7238705639245,132.46501667060474,5513690.0
2017-05-15,150.62,151.83,150.4502,151.51,4232921.0,0.0,1.0,129.8274389050396,130.87040266201146,129.6810791976563,130.5945775362007,4232921.0
2017-05-12,150.3,151.265,150.0,150.37,3715702.0,0.0,1.0,129.5516137792289,130.38339892425185,129.2930277237813,129.61195052549996,3715702.0
2017-05-11,151.05,151.15,149.79,150.65,5627964.0,0.0,1.0,130.1980789178478,130.28427426966363,129.112017484968,129.85329751058435,5627964.0
2017-05-10,151.651,152.37,151.13,151.25,4999861.0,0.0,1.0,130.71611298226108,131.33585756181705,130.26703519930047,130.3704696214795,4999861.0
2017-05-09,152.6,153.1,151.5552,152.11,6853043.0,0.0,1.0,131.5341068709935,131.96508363007277,130.6335378352215,131.11174964709585,6853043.0
2017-05-08,152.8,153.47,152.2,153.03,7491966.0,1.5,1.0,131.70649757462525,132.28400643179145,131.18932546373009,131.9047468838017,7491966.0
2017-05-05,153.52,155.78,153.0,155.05,12521335.0,0.0,1.0,131.0426243551494,132.97173021134165,130.59875929089276,132.3486119480583,12521335.0
2017-05-04,158.89,159.14,158.36,159.05,4280613.0,0.0,1.0,135.6263847302611,135.83978139576908,135.17398379938416,135.76295859618622,4280613.0
2017-05-03,158.74,159.45,158.52,158.63,3993292.0,0.0,1.0,135.4983467309563,136.104393260999,135.3105576653093,135.4044521981328,3993292.0
2017-05-02,159.44,159.49,158.64,159.1,3208239.0,0.0,1.0,136.0958573943787,136.1385367274803,135.4129880647531,135.80563792928783,3208239.0
2017-05-01,160.05,160.42,158.7,158.84,4935312.0,0.0,1.0,136.6165452582182,136.93237232317003,135.46420326447503,135.58370539715952,4935312.0
2017-04-28,160.5,160.59,159.7,160.29,4154147.0,0.0,1.0,137.0006592561326,137.07748205571548,136.317789926507,136.82140605710586,4154147.0
2017-04-27,160.29,160.48,159.63,160.32,4122943.0,0.0,1.0,136.82140605710586,136.98358752289195,136.25803886016476,136.84701365696682,4122943.0
2017-04-26,160.53,161.1,159.89,160.06,4328001.0,0.0,1.0,137.02626685599355,137.51281125335177,136.47997139229307,136.62508112483852,4328001.0
2017-04-25,161.78,162.04,160.38,160.39,4860407.0,0.0,1.0,138.0932501835335,138.31518271566182,136.89822885668875,136.90676472330907,4860407.0
2017-04-24,161.29,161.57,160.42,160.75,5320608.0,0.0,1.0,137.67499271913783,137.9139969845068,136.93237232317003,137.21405592164058,5320608.0
2017-04-21,162.05,162.11,160.38,160.38,5607756.0,0.0,1.0,138.32371858228217,138.3749337820041,136.89822885668875,136.89822885668875,5607756.0
2017-04-20,161.32,162.4,160.5,162.3,6486809.0,0.0,1.0,137.7006003189988,138.62247391399336,137.0006592561326,138.53711524779015,6486809.0
